antecedent,consequent,weight,source_row
Tin=Normal AND Tout=Normal AND Hin=Dry AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Low AND E=Normal AND W=3,Good,0.3580867865978616,77
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=High AND E=Normal AND W=3,Good,0.4367816091954026,78
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=High AND E=Normal AND W=0,Acceptable,0.4782631618773909,79
Tin=Hot AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=High AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=Normal AND E=High AND W=1,Poor,0.4398912139606609,80
Tin=Normal AND Tout=Hot AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Normal AND E=High AND W=3,Acceptable,0.4356680104890221,81
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Low AND E=Normal AND W=0,Acceptable,0.3718546861951174,82
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=3,Good,0.3819159431681139,83
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Low AND E=Normal AND W=3,Poor,0.5242090353412683,84
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Wet AND L=Normal AND Solar=Normal AND CO2=Low AND Wind=Medium AND N=Normal AND E=Normal AND W=1,Acceptable,0.3688039477057019,85
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=3,Acceptable,0.3921542786352155,86
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Wet AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=1,Acceptable,0.3764697241776701,87
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=Normal AND CO2=Low AND Wind=Medium AND N=High AND E=Low AND W=3,Good,0.3382471424405466,88
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=3,Acceptable,0.3390367145177244,89
Tin=Normal AND Tout=Normal AND Hin=Dry AND Hout=Dry AND L=Normal AND Solar=Normal AND CO2=High AND Wind=Medium AND N=Low AND E=Normal AND W=3,Acceptable,0.3340172444613759,90
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=3,Good,0.5025138576093543,91
Tin=Normal AND Tout=Cold AND Hin=Normal AND Hout=Dry AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=High AND E=Normal AND W=3,Acceptable,0.3769771117708476,92
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=High AND Wind=Medium AND N=Normal AND E=Normal AND W=0,Poor,0.3613358279329721,93
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Normal AND E=Normal AND W=0,Acceptable,0.3773946360153258,94
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Low AND E=Low AND W=3,Poor,0.352626106161264,95
Tin=Normal AND Tout=Normal AND Hin=Wet AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=High AND N=Low AND E=Normal AND W=1,Acceptable,0.35549405442549,96
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Low AND E=Low AND W=3,Good,0.4110270907377033,97
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=High AND E=Normal AND W=3,Acceptable,0.3356176325737902,98
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=High AND CO2=Normal AND Wind=Medium AND N=High AND E=Normal AND W=3,Good,0.4192515923969903,99
